product_name,current_regular_price,current_membership_price,current_supermarket
"Tunnocks Milk Chocolate Caramel Wafer Biscuits Multipack, 240g",2.25,,Tesco
"Ferrero Raffaello Coconut & Almond Pralines 230G",6.55,5.25,Tesco
"Nestlé Cheerios Honey Cereal 575g",3.90,3.00,Tesco    
"Oreo White Chocolate Covered Cookies 246G",2.00,1.50,Tesco
